WhsAgeReviewTempID,DateTimeEntered,AgeReadingID,FishID,Purpose,Reader,envAlphaID,envNumberID,Reading,ReadingMethod,ReadAge,Readability,EdgeTranslucency,Adj_Inc,MIncrRatio,Length,Sex,Location,CalYear,Area,Month,ImageCode,ImageCode_m,Scale,Otolith1,Otolith1Value,Otolith1Note,Otolith1Arag,Otolith1Debri,Otolith1Missing,Otolith2,Otolith2Value,Otolith2Note,Otolith2Condition,Otolith2Arag,Otolith2Debri,Otolith3,Otolith3Value,Otolith3Note,Otolith3Condition,Otolith3Arag,Otolith3Debri,Otolith3Missing,Project,TaxonCode,CommonName,ScientificName,ComputerCode,ComputerScale,ReviewDate,Sort,ReadersNote,SampleDate,ReadNoNote,AgeReadingTypeID,LocationID,F1stRing,S2ndRing,S2ndLastToLast,LastToEdge,YearEntered,R1,R2,R3,R4,R5,R6,R7,R8,R9,R10,R11,R12,R13,R14,R15,R16,R17,R18,R19,R20,R21,R22,R23,R24,R25,R26,R27,R28,R29,R30,R31,R32,R33,R34,R35,R36,R37,R38,R39,R40,R41,R42,R43,R44,R45,R46,R47,R48,R49,R50,R51,R52,R53,R54,R55,R56,R57,R58,R59,R60,R61,R62,R63,R64,R65,R66,R67,R68,R69,R70,R71,R72,R73,R74,R75,R76,R77,R78,R79,R80,R81,R82,R83,R84,R85,R86,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97,R98,R99,R100
12311155,19/09/2017 12:53,154838,6468147,TenPercent, Hayden Schilling,Psa,472,1,MIncrRingCountOfOtolith,0,,m,0,,4,Unknown,CLARENCE RIVER,2015,Clarence R Iluka Maclean Yamba Wooloweyah,10,Images/Pom_sal(Psa)_472_TenP_1_1.jpg,Images/Pom_sal(Psa)_472_TenP_1_1_m.jpg,112,S ,0.00062,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/10/2015 0:00,,5120,80,0.692113719,,,0.692113719,2017,0.692113719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311156,19/09/2017 12:54,154848,6468162,TenPercent, Hayden Schilling,Psa,482,1,MIncrRingCountOfOtolith,0,2,m,0,,8.5,Unknown,JERVIS BAY,2015,Jervis Bay,11,Images/Pom_sal(Psa)_482_TenP_1_1.jpg,Images/Pom_sal(Psa)_482_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/11/2015 0:00,,5120,800,1.325765085,,,1.325765085,2017,1.325765085,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311157,19/09/2017 12:54,154858,6468177,TenPercent, Hayden Schilling,Psa,492,1,MIncrRingCountOfOtolith,0,2,m,0,,7.7,Unknown,JERVIS BAY,2015,Jervis Bay,11,Images/Pom_sal(Psa)_492_TenP_1_1.jpg,Images/Pom_sal(Psa)_492_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/11/2015 0:00,,5120,800,1.129384879,,,1.129384879,2017,1.129384879,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311158,19/09/2017 16:14,154868,6468191,TenPercent, Hayden Schilling,Psa,502,1,MIncrRingCountOfOtolith,0,2,m,0,,9.2,Unknown,JERVIS BAY,2015,Jervis Bay,11,Images/Pom_sal(Psa)_502_TenP_1_1.jpg,Images/Pom_sal(Psa)_502_TenP_1_1_m.jpg,112,S ,0.00292,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/11/2015 0:00,,5120,800,1.454623293,,,1.454623293,2017,1.454623293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311159,19/09/2017 16:15,154878,6468201,TenPercent, Hayden Schilling,Psa,512,1,MIncrRingCountOfOtolith,0,2,m,0,,8.9,Unknown,JERVIS BAY,2015,Jervis Bay,11,Images/Pom_sal(Psa)_512_TenP_1_1.jpg,Images/Pom_sal(Psa)_512_TenP_1_1_m.jpg,112,S ,,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,19/11/2015 0:00,,5120,800,1.474896466,,,1.474896466,2017,1.474896466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311160,19/09/2017 16:15,154888,6468217,TenPercent, Hayden Schilling,Psa,522,1,MIncrRingCountOfOtolith,0,2,m,0,,5.9,Unknown,JERVIS BAY,2015,Jervis Bay,10,Images/Pom_sal(Psa)_522_TenP_1_1.jpg,Images/Pom_sal(Psa)_522_TenP_1_1_m.jpg,112,S ,0.00124,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/10/2015 0:00,,5120,800,1.00825673,,,1.00825673,2017,1.00825673,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311163,19/09/2017 16:17,154915,6468247,TenPercent, Hayden Schilling,Psa,552,1,MIncrRingCountOfOtolith,0,2,m,0,,5.8,Unknown,JERVIS BAY,2015,Jervis Bay,10,Images/Pom_sal(Psa)_552_TenP_1_1.jpg,Images/Pom_sal(Psa)_552_TenP_1_1_m.jpg,112,S ,0.00119,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/10/2015 0:00,,5120,800,0.978801169,,,0.978801169,2017,0.978801169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311164,19/09/2017 16:18,154925,6468258,TenPercent, Hayden Schilling,Psa,562,1,MIncrRingCountOfOtolith,0,2,m,0,,6.8,Unknown,JERVIS BAY,2015,Jervis Bay,10,Images/Pom_sal(Psa)_562_TenP_1_1.jpg,Images/Pom_sal(Psa)_562_TenP_1_1_m.jpg,112,S ,0.00154,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/10/2015 0:00,,5120,800,1.1325169,,,1.1325169,2017,1.1325169,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311166,19/09/2017 16:20,154945,6415946,TenPercent, Hayden Schilling,Psa,582,1,MIncrRingCountOfOtolith,0,2,m,0,,9.8,Unknown,JERVIS BAY,2015,unknown,12,Images/Pom_sal(Psa)_582_TenP_1_1.jpg,Images/Pom_sal(Psa)_582_TenP_1_1_m.jpg,112,S ,0.00356,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/12/2015 0:00,,5120,800,1.494508466,,,1.494508466,2017,1.494508466,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311168,19/09/2017 16:21,154965,6415953,TenPercent, Hayden Schilling,Psa,602,1,MIncrRingCountOfOtolith,0,2,m,0,,9,Unknown,JERVIS BAY,2015,unknown,12,Images/Pom_sal(Psa)_602_TenP_1_1.jpg,Images/Pom_sal(Psa)_602_TenP_1_1_m.jpg,112,S ,0.00302,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/12/2015 0:00,,5120,800,1.423454054,,,1.423454054,2017,1.423454054,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311170,19/09/2017 16:26,154985,6415941,TenPercent, Hayden Schilling,Psa,622,1,MIncrRingCountOfOtolith,0,2,m,0,,6.7,Unknown,Lake Wooloweyah,2016,unknown,1,Images/Pom_sal(Psa)_622_TenP_1_1.jpg,Images/Pom_sal(Psa)_622_TenP_1_1_m.jpg,112,S ,0.00202,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,15/01/2016 0:00,,5120,1940,1.191967489,,,1.191967489,2017,1.191967489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311193,19/09/2017 16:57,155218,6469316,TenPercent, Hayden Schilling,Psa,852,1,MIncrRingCountOfOtolith,1,2,m,1,0.170987968,29.5,Male,TUNCURRY,2016,32 Deg. - 33 Deg. Latitude (Zone 5),3,Images/Pom_sal(Psa)_852_TenP_1_1.jpg,Images/Pom_sal(Psa)_852_TenP_1_1_m.jpg,112,S ,0.0218,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,22/03/2016 0:00,,5120,1270,2.531435021,0.43284493,2.531435021,0.43284493,2017,2.531435021,0.43284493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311198,19/09/2017 17:01,155268,6469296,TenPercent, Hayden Schilling,Psa,902,1,MIncrRingCountOfOtolith,2,3,m,2,0.576131985,35.6,Female,TUNCURRY,2016,32 Deg. - 33 Deg. Latitude (Zone 5),3,Images/Pom_sal(Psa)_902_TenP_1_1.jpg,Images/Pom_sal(Psa)_902_TenP_1_1_m.jpg,112,S ,0.0292,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,21/03/2016 0:00,,5120,1270,2.36952128,0.756681501,0.756681501,0.435948415,2017,2.36952128,0.756681501,0.435948415,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311199,19/09/2017 17:02,155278,6469821,TenPercent, Hayden Schilling,Psa,912,1,MIncrRingCountOfOtolith,2,3,m,2,0.692981853,29.7,Female,TUNCURRY,2016,32 Deg. - 33 Deg. Latitude (Zone 5),3,Images/Pom_sal(Psa)_912_TenP_1_1.jpg,Images/Pom_sal(Psa)_912_TenP_1_1_m.jpg,112,S ,0.02211,,,,,,,,,,,,,,,,,,RAAM Monitoring 2014/15 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,20/03/2016 0:00,,5120,1270,2.198737398,0.577475876,0.577475876,0.400180302,2017,2.198737398,0.577475876,0.400180302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311206,19/09/2017 17:13,155348,6472613,TenPercent, Hayden Schilling,Psa,982,1,MIncrRingCountOfOtolith,1,2,m,1,0.130327949,29.9,Male,BALLINA,2016,28 Deg. 9 Min. - 29 Deg. Latitude (Zone 1),3,Images/Pom_sal(Psa)_982_TenP_1_1.jpg,Images/Pom_sal(Psa)_982_TenP_1_1_m.jpg,112,S ,0.02239,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,6/03/2016 0:00,,5120,30,2.741822153,0.357336059,2.741822153,0.357336059,2017,2.741822153,0.357336059,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311219,19/09/2017 17:39,155478,6447376,TenPercent, Hayden Schilling,Psa,1112,1,MIncrRingCountOfOtolith,1,2,m,1,0.133373369,32.2,Unknown,BALLINA,2016,28 Deg. 9 Min. - 29 Deg. Latitude (Zone 1),5,Images/Pom_sal(Psa)_1112_TenP_1_1.jpg,Images/Pom_sal(Psa)_1112_TenP_1_1_m.jpg,112,S ,0.02861,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,7/05/2016 0:00,,5120,30,2.755455306,0.367504358,2.755455306,0.367504358,2017,2.755455306,0.367504358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311222,19/09/2017 17:41,155508,6458219,TenPercent, Hayden Schilling,Psa,1142,1,MIncrRingCountOfOtolith,1,2,m,1,0.096712748,27.6,Female,BALLINA,2016,28 Deg. 9 Min. - 29 Deg. Latitude (Zone 1),4,Images/Pom_sal(Psa)_1142_TenP_1_1.jpg,Images/Pom_sal(Psa)_1142_TenP_1_1_m.jpg,112,S ,0.02066,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,8/04/2016 0:00,,5120,30,2.477219566,0.239578712,2.477219566,0.239578712,2017,2.477219566,0.239578712,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311223,19/09/2017 17:42,155518,6458229,TenPercent, Hayden Schilling,Psa,1152,1,MIncrRingCountOfOtolith,2,3,m,2,0.506368538,50.4,Female,BALLINA,2016,28 Deg. 9 Min. - 29 Deg. Latitude (Zone 1),4,Images/Pom_sal(Psa)_1152_TenP_1_1.jpg,Images/Pom_sal(Psa)_1152_TenP_1_1_m.jpg,112,S ,0.04832,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,8/04/2016 0:00,,5120,30,3.222648469,0.7242429,0.7242429,0.366733818,2017,3.222648469,0.7242429,0.366733818,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12311224,19/09/2017 17:43,155528,6458239,TenPercent, Hayden Schilling,Psa,1162,1,MIncrRingCountOfOtolith,2,2,m,2,0.625325838,32.5,Male,BALLINA,2016,28 Deg. 9 Min. - 29 Deg. Latitude (Zone 1),4,Images/Pom_sal(Psa)_1162_TenP_1_1.jpg,Images/Pom_sal(Psa)_1162_TenP_1_1_m.jpg,112,S ,0.0267,,,,,,,,,,,,,,,,,,RAAM Monitoring 2015/16 [Extra Bio data]                                                                                                                                                                                                                       ,37 334002,Tailor ,Pomatomus saltatrix,Leica M80 microscope (SIMS),,,2,,8/04/2016 0:00,,5120,30,2.236191915,0.633979933,0.633979933,0.396444033,2017,2.236191915,0.633979933,0.396444033,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
